training_id,title,provider,description,duration_days,duration_hours,competency_tags,category,level,target_audience,programme_url,source,active
NSSTA_PROG_01,Advanced National Accounts: SUT and Capital Accounting,NSSTA Greater Noida,"Intensive hands-on residential training on Supply-Use Tables (SUT), asset accounts, and FISIM estimation.",5,30.0,"National Accounts, Industrial Statistics, Price Statistics",Statistical,Advanced,ISS / SSS Officers in NAD & ESD,https://nssta.gov.in/trainings/view/nssta_prog_01,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_02,Large-Scale Sample Survey Operations & Quality Control,NSSTA Greater Noida,"Practical workshop on field sample selection, non-response adjustments, and CAPI survey tools.",5,30.0,"Survey Design, Sampling Techniques, Data Quality Frameworks",Statistical,Advanced,Field Operations Division Officers,https://nssta.gov.in/trainings/view/nssta_prog_02,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_03,Price Index Numbers: Advanced Formulae and Hedonic Imputation,NSSTA & ISI Kolkata,"In-depth training on multilateral price indices, scanner data, and quality-adjusted inflation calculation.",4,24.0,"Price Statistics, National Accounts, R Programming",Statistical,Advanced,Price Statistics Division Staff,https://nssta.gov.in/trainings/view/nssta_prog_03,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_04,Data Science & Machine Learning Pipeline for Official Microdata,MoSPI TPAC / ISI Delhi,"Python, big data frameworks, automated survey verification, and classification algorithms.",10,60.0,"Python for Data Analysis, AI & Machine Learning in Statistics, SQL & Database Queries",Technical,Advanced,DIID & Research Officers,https://nssta.gov.in/trainings/view/nssta_prog_04,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_05,Periodic Labour Force Survey (PLFS) Data Extraction & Modeling,NSSTA Greater Noida,"Hands-on data extraction from raw PLFS unit-level microdata, multiplier application, and transition matrices.",3,18.0,"Labour Statistics, Sampling Techniques, Stata Econometrics",Statistical,Intermediate,Social Statistics & Analytical Wings,https://nssta.gov.in/trainings/view/nssta_prog_05,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_06,Geospatial Information System (GIS) for Urban Frame Survey,NSSTA & Regional Remote Sensing Centre,"High-resolution satellite mapping, UFS block boundary delineation, and GIS database construction.",5,30.0,"GIS & Spatial Statistics, Survey Design, Data Visualization & Dashboards",Technical,Intermediate,SDRD & FOD Officers,https://nssta.gov.in/trainings/view/nssta_prog_06,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_07,Annual Survey of Industries (ASI) Estimation Methodology,NSSTA Greater Noida,"Factory sector frame maintenance, pool of samples, multiplier weighting, and GVA reconciliation.",4,24.0,"Industrial Statistics, National Accounts, Data Quality Frameworks",Statistical,Advanced,ESD & Regional Officials,https://nssta.gov.in/trainings/view/nssta_prog_07,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_08,SDG Indicator Computation and National Metadata Validation,MoSPI & UN SIAP,Aligning national administrative data sources with UN custodian agency SDG calculation methodologies.,3,18.0,"SDG Indicators, Metadata Standards, Data Quality Frameworks",Statistical,Intermediate,SSD and Nodal Statistical Cells,https://nssta.gov.in/trainings/view/nssta_prog_08,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_09,Executive Leadership & Change Management in Statistical Governance,NSSTA Greater Noida,"Strategic decision-making, modernization of statistical offices, and inter-agency coordination.",3,18.0,"Leadership & Team Management, Official Communication & Reporting, Public Service Ethics & Integrity",Behavioural / Managerial,Advanced,Directors & Assistant Directors,https://nssta.gov.in/trainings/view/nssta_prog_09,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_10,Statistical Data Quality Auditing and Imputation Algorithms,NSSTA & ISI Kolkata,"Deterministic and stochastic imputation (Hot-deck, KNN), outlier bounds, and quality audit trails.",4,24.0,"Data Quality Frameworks, Python for Data Analysis, Sampling Techniques",Statistical,Advanced,All Statistical System Analysts,https://nssta.gov.in/trainings/view/nssta_prog_10,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_11,Time Series Econometrics & Seasonal Adjustment for Macro Indicators,NSSTA & Reserve Bank of India Staff College,"Deep dive into X-13ARIMA-SEATS, unit root testing, cointegration, and quarterly GDP reconciliation.",5,30.0,"National Accounts, Price Statistics, R Programming",Statistical,Advanced,National Accounts & Macro Analysts,https://nssta.gov.in/trainings/view/nssta_prog_11,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_12,Survey Sampling Frames and Digital Mapping for Field Enumeration,NSSTA & Survey of India,"Digitizing village cadastre maps, cluster boundary tracking, and mobile GIS verification.",4,24.0,"Survey Design, Sampling Techniques, GIS & Spatial Statistics",Statistical,Intermediate,FOD & SDRD Sampling Officers,https://nssta.gov.in/trainings/view/nssta_prog_12,NSSTA / TPAC Prototype Catalogue,True
