course_id,title,provider,description,duration_hours,competency_tags,category,difficulty,course_url,source,active
IGOT_PY_101,Python for Data Analysis in Public Administration,ISTM / DoPT,"Master NumPy, pandas, data aggregation, and statistical transformations for official survey datasets.",8.0,"Python for Data Analysis, Data Visualization, Data Quality Frameworks",Technical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_py_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_SQL_101,Relational Database Management and SQL for Government,National Informatics Centre (NIC),"Writing complex SELECT queries, indexing, joins, and aggregates for administrative databases.",6.0,"SQL & Database Queries, APIs & Data Integration",Technical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_sql_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_SNA_201,Fundamentals of System of National Accounts (SNA 2008),MoSPI / NSSTA,"Comprehensive introduction to Gross Value Added (GVA), GDP compilation, and institutional sectors.",10.0,"National Accounts, Price Statistics, Metadata Standards",Statistical,Advanced,https://igotkarmayogi.gov.in/learn/course/igot_sna_201,iGOT Karmayogi Prototype Catalogue,True
IGOT_SURV_101,Official Survey Design & Multi-Stage Sampling,NSSTA Greater Noida,"Principles of sampling frames, probability proportional to size (PPS), and sampling variance.",12.0,"Survey Design, Sampling Techniques, Labour Statistics",Statistical,Advanced,https://igotkarmayogi.gov.in/learn/course/igot_surv_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_CPI_101,Compilation Methodology of Consumer Price Index (CPI),Price Statistics Division / MoSPI,"Basket selection, price collection protocols, Laspeyres aggregation, and imputation.",6.5,"Price Statistics, Data Quality Frameworks, National Accounts",Statistical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_cpi_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_R_101,Statistical Computing and Data Analysis with R,Indian Statistical Institute / DoPT,"Data frames, survey package, hypothesis testing, and econometric regression in R.",9.0,"R Programming, Data Visualization & Dashboards, Sampling Techniques",Technical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_r_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_SDG_101,Monitoring Sustainable Development Goals (SDG NIF),NITI Aayog & MoSPI,"Understanding the National Indicator Framework, data disaggregation, and metadata standards.",5.0,"SDG Indicators, Metadata Standards, Data Visualization & Dashboards",Statistical,Beginner,https://igotkarmayogi.gov.in/learn/course/igot_sdg_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_CYBER_101,Cybersecurity and Data Protection for Government Officials,MeitY / CERT-In,"Information security guidelines, password protocols, phishing defense, and server hygiene.",4.0,"Cybersecurity & Data Protection, Data Privacy & Anonymization, Digital Governance",Digital Governance,Beginner,https://igotkarmayogi.gov.in/learn/course/igot_cyber_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_DPDP_101,Digital Personal Data Protection (DPDP) Act Compliance,DoPT / Ministry of Law,"De-identification techniques, respondent consent, and microdata privacy standards.",4.5,"Data Privacy & Anonymization, Cybersecurity & Data Protection, Digital Governance",Digital Governance,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_dpdp_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_VIZ_101,Data Storytelling & Executive Visualizations,ISTM New Delhi,"Creating charts, dashboard design, visual clarity, and statistical reporting best practices.",5.5,"Data Visualization & Dashboards, Official Communication & Reporting, Python for Data Analysis",Technical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_viz_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_GIS_101,Geospatial Analysis and QGIS for Public Systems,Department of Space / ISRO,"Spatial coordinates, layer overlays, choropleth generation, and block mapping.",7.5,"GIS & Spatial Statistics, Survey Design, Data Visualization & Dashboards",Technical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_gis_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_ETHICS_101,"Ethics, Objectivity and Integrity in Public Service",DoPT / Lal Bahadur Shastri National Academy,"Constitutional values, impartiality in official statistics, and public trust.",3.0,"Public Service Ethics & Integrity, Leadership & Team Management",Behavioural / Managerial,Beginner,https://igotkarmayogi.gov.in/learn/course/igot_ethics_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_LEAD_101,Leadership in Field Operations and Team Dynamics,IIPA New Delhi,"Leading diverse survey enumerators, dispute resolution, and field mission success.",6.0,"Leadership & Team Management, Official Communication & Reporting",Behavioural / Managerial,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_lead_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_PLFS_101,Periodic Labour Force Survey (PLFS) Concepts & Standards,Social Statistics Division,"Usual Principal Activity Status (UPSS), Current Weekly Status (CWS), and LFPR estimation.",7.0,"Labour Statistics, Survey Design, Sampling Techniques",Statistical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_plfs_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_ASI_101,Annual Survey of Industries (ASI): Concepts & Data Flow,Economic Statistics Division,"NIC classification, capital invested, gross output, and factory sector survey rounds.",8.0,"Industrial Statistics, National Accounts, Data Quality Frameworks",Statistical,Advanced,https://igotkarmayogi.gov.in/learn/course/igot_asi_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_QUAL_101,National Quality Assurance Framework (NQAF) for Official Data,MoSPI Quality Wing,"Data audit protocols, consistency checks, outlier detection, and statistical validation.",5.0,"Data Quality Frameworks, Metadata Standards, Survey Design",Statistical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_qual_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_API_101,Open Data Publishing and Web APIs for Statistics,NIC / Open Data Portal,"REST APIs, JSON formats, automated data exchange pipelines, and data.gov.in standards.",4.5,"APIs & Data Integration, Open Data Standards, Cloud Computing for Government",Technical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_api_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_ML_101,Applied Machine Learning for Survey Data Validation,Digital India / MoSPI DIID,"Classification models, automated survey outlier detection, and text categorization.",10.0,"AI & Machine Learning in Statistics, Python for Data Analysis, Data Quality Frameworks",Technical,Advanced,https://igotkarmayogi.gov.in/learn/course/igot_ml_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_TIME_101,Time Series Forecasting and Econometric Analysis,Institute of Economic Growth,"ARIMA models, seasonal adjustment (X-13ARIMA-SEATS), and macroeconomic forecasting.",8.5,"R Programming, National Accounts, Price Statistics",Technical,Advanced,https://igotkarmayogi.gov.in/learn/course/igot_time_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_REPORT_101,Drafting Statistical Reports and Parliamentary Briefs,ISTM New Delhi,"Structuring executive summaries, bulleted statistical highlights, and evidence briefs.",4.0,"Official Communication & Reporting, Leadership & Team Management, Metadata Standards",Behavioural / Managerial,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_report_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_CLOUD_101,Government Cloud (MeghRaj) Fundamentals,NIC Cloud Services,"Cloud infrastructure, secure data hosting, containerization, and high availability.",4.0,"Cloud Computing for Government, Cybersecurity & Data Protection",Digital Governance,Beginner,https://igotkarmayogi.gov.in/learn/course/igot_cloud_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_STATA_101,Econometric and Survey Analysis with Stata,NCAER / MoSPI,"Survey weights (svyset), complex survey regression, and microdata panel analysis.",7.5,"Stata Econometrics, Sampling Techniques, Labour Statistics",Technical,Advanced,https://igotkarmayogi.gov.in/learn/course/igot_stata_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_SPSS_101,Applied Social Research and Data Analysis with SPSS,TISS Mumbai,"Cross-tabulation, Chi-square tests, correlation, and survey table generation.",6.0,"SPSS Statistics, Survey Design",Technical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_spss_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_META_101,Statistical Data and Metadata eXchange (SDMX) Basics,MoSPI DIID,"SDMX architecture, data structure definitions (DSD), and global dissemination formats.",5.0,"Metadata Standards, APIs & Data Integration, Open Data Standards",Statistical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_meta_101,iGOT Karmayogi Prototype Catalogue,True
IGOT_AGRI_101,Agricultural Statistics and Land Use Classification,Directorate of Economics & Statistics,"Crop cutting experiments, area enumeration, and agricultural input cost indices.",6.0,"Agricultural Statistics, Sampling Techniques, Survey Design",Statistical,Intermediate,https://igotkarmayogi.gov.in/learn/course/igot_agri_101,iGOT Karmayogi Prototype Catalogue,True
